,article_id,image_file_path_x,is_rgb_x,max_ratio_x,num_high_ratios_x,proportion_high_ratio_pixels_x,mean_delta_x,euclidean_distance_metric_x,image_file_path_y,is_rgb_y,max_ratio_y,num_high_ratios_y,proportion_high_ratio_pixels_y,mean_delta_y,euclidean_distance_metric_y
0,43920,Images/43920/elife-43920-fig5-v2.jpg,1,9.431927122780564,6.0,0.0112299465240641,0.043659189673868,24.45915847438824,Images/43920/elife-43920-fig4-v2.jpg,1,8.541287355784943,8.0,0.008896631823461,0.1180045639948689,27.120064077887008
1,28118,Images/28118/elife-28118-fig6-v1.jpg,0,,,,,,Images/28118/elife-28118-fig2-v1.jpg,0,,,,,
2,28118,Images/28118/elife-28118-fig6-v1.jpg,0,,,,,,Images/28118/elife-28118-fig7-v1.jpg,0,,,,,
3,28118,Images/28118/elife-28118-fig6-v1.jpg,0,,,,,,Images/28118/elife-28118-fig6-v2.jpg,1,10.882411133765528,48.0,0.0341849816849816,0.0343593841574242,20.615528128088304
4,28118,Images/28118/elife-28118-fig2-v2.jpg,1,5.768700986649177,2.0,0.00017325017325017325,0.0169756745561572,16.60626149361608,Images/28118/elife-28118-fig2-v1.jpg,0,,,,,
5,28118,Images/28118/elife-28118-fig2-v2.jpg,1,5.768700986649177,2.0,0.00017325017325017325,0.0169756745561572,16.60626149361608,Images/28118/elife-28118-fig7-v1.jpg,0,,,,,
6,28118,Images/28118/elife-28118-fig2-v2.jpg,1,5.768700986649177,2.0,0.00017325017325017325,0.0169756745561572,16.60626149361608,Images/28118/elife-28118-fig6-v2.jpg,1,10.882411133765528,48.0,0.0341849816849816,0.0343593841574242,20.615528128088304
7,31873,Images/31873/elife-31873-fig11-v4.jpg,1,23.94347422977604,104.0,0.1309382537385431,0.0501916353911612,33.421549934136806,Images/31873/elife-31873-fig8-v2.jpg,1,10.609496049452012,37.0,0.0465140415140415,0.0564291757483168,31.827660925679098
8,31873,Images/31873/elife-31873-fig1-v3.jpg,1,47.45974864720296,35.0,0.0260281690140845,0.1266215036569821,18.155875697177947,Images/31873/elife-31873-fig8-v2.jpg,1,10.609496049452012,37.0,0.0465140415140415,0.0564291757483168,31.827660925679098
9,28951,Images/28951/elife-28951-fig4-v2.jpg,1,16.322150534467905,24.0,0.0172908366533864,0.0228467543258306,25.495097567963924,Images/28951/elife-28951-fig7-v1.jpg,1,9.90892180913366,8.0,0.0056527777777777,0.0565157217522187,31.727905923800947
10,62236,Images/62236/elife-62236-fig1-v1.jpg,1,6.6252921904619,6.0,0.0036572199730094,0.0705006114101001,18.867962264113206,Images/62236/elife-62236-fig7-v1.jpg,1,14.089028579278052,21.0,0.0135035460992907,0.257794002410796,9.486832980505138
11,27402,Images/27402/elife-27402-fig2-v2.jpg,1,28.59265326388173,30.0,0.047530303030303,0.008591447345501,7.0,Images/27402/elife-27402-fig6-v2.jpg,1,10.425920024516788,127.0,0.07095690747782,0.0438095354901598,12.206555615733702
12,27402,Images/27402/elife-27402-fig2-v2.jpg,1,28.59265326388173,30.0,0.047530303030303,0.008591447345501,7.0,Images/27402/elife-27402-fig9-v2.jpg,1,11.31352584496622,44.0,0.0548451053283767,0.0292850830493633,14.422205101855956
13,9561,Images/09561/elife-09561-fig2-v1.jpg,1,77.42041541822472,38.0,0.0407692307692307,0.0353228924498358,5.830951894845301,Images/09561/elife-09561-fig5-v1.jpg,0,,,,,
14,9561,Images/09561/elife-09561-fig6-v1.jpg,0,,,,,,Images/09561/elife-09561-fig5-v1.jpg,0,,,,,
15,10110,Images/10110/elife-10110-fig2-v2.jpg,1,73.13531249174729,23.0,0.0005637254901960784,0.0050826040224423,142.5938287584705,Images/10110/elife-10110-fig3-v1.jpg,1,13.261846415056612,21.0,0.0023694779116465,0.0098769613014427,11.672932474047697
16,50316,Images/50316/elife-50316-fig7-v2.jpg,1,38.11555633294686,39.0,0.0084555984555984,0.0280550088381027,7.071067811865476,Images/50316/elife-50316-fig2-v2.jpg,1,5.619747140507074,1.0,0.0026409495548961,0.0678084412855323,31.144823004794876
17,50316,Images/50316/elife-50316-fig7-v2.jpg,1,38.11555633294686,39.0,0.0084555984555984,0.0280550088381027,7.071067811865476,Images/50316/elife-50316-fig8-v3.jpg,1,10.996316646998933,10.0,0.0030122591943957,0.0178221176508945,35.510561809129406
18,50316,Images/50316/elife-50316-fig7-v3.jpg,1,38.11555633294686,39.0,0.0084555984555984,0.0280550088381027,7.071067811865476,Images/50316/elife-50316-fig2-v2.jpg,1,5.619747140507074,1.0,0.0026409495548961,0.0678084412855323,31.144823004794876
19,50316,Images/50316/elife-50316-fig7-v3.jpg,1,38.11555633294686,39.0,0.0084555984555984,0.0280550088381027,7.071067811865476,Images/50316/elife-50316-fig8-v3.jpg,1,10.996316646998933,10.0,0.0030122591943957,0.0178221176508945,35.510561809129406
20,50316,Images/50316/elife-50316-fig2-v3.jpg,1,6.536960336290331,2.0,0.0034322453016815,0.0759646096902544,21.330613092251,Images/50316/elife-50316-fig2-v2.jpg,1,5.619747140507074,1.0,0.0026409495548961,0.0678084412855323,31.144823004794876
21,50316,Images/50316/elife-50316-fig2-v3.jpg,1,6.536960336290331,2.0,0.0034322453016815,0.0759646096902544,21.330613092251,Images/50316/elife-50316-fig8-v3.jpg,1,10.996316646998933,10.0,0.0030122591943957,0.0178221176508945,35.510561809129406
