image_file_path	article_id	is_rgb	max_ratio	num_high_ratios	proportion_high_ratio_pixels	mean_delta	euclidean_distance_metric	firstPart	secondPart	Conclusion
elife-00003-fig3-v1	00003	1.0	11.242857251866976	247.0	0.1219004524886877	0.0753372742897009	5.5	Images	00003	2.0
elife-00031-fig4-v1	00031	1.0	11.210829603903662	38.0	0.086199538638985	0.1088541574355118	7.211102550927978	Images	00031	0.0
elife-00036-fig2-v1	00036	1.0	8.66249212789014	20.0	0.0673997233748271	0.040347846910121	18.35755975068582	Images	00036	0.0
elife-00036-fig6-v1	00036	1.0	9.32488953294401	6.0	0.0166113416320885	0.0213092081545918	18.24828759089466	Images	00036	0.0
elife-00133-fig2-v1	00133	0.0						Images	00133	-1.0
elife-00160-fig1-v1	00160	1.0	10.526329814581665	104.0	0.0242059336823734	0.0297709904829127	16.381527307120106	Images	00160	3.0
elife-00160-fig5-v1	00160	1.0	10.839506496763285	68.0	0.0672043010752688	0.0384423685175588	11.783639655793907	Images	00160	3.0
elife-00170-fig1-v1	00170	0.0						Images	00170	-1.0
elife-00183-fig8-v1	00183	1.0	11.42805730735904	317.0	0.1679290780141844	0.05513449085613	2.23606797749979	Images	00183	3.0
elife-00184-fig2-v1	00184	1.0	10.37167489595895	151.0	0.0378191489361702	0.1270287748909118	10.547618319154076	Images	00184	0.0
elife-00184-fig3-v1	00184	1.0	10.625209559976604	49.0	0.083037323037323	0.0413045242558098	19.235384061671343	Images	00184	3.0
elife-00184-fig9-v1	00184	1.0	10.060496491530897	37.0	0.0616054421768707	0.0372182734726628	21.95449840010015	Images	00184	1.0
elife-00190-fig8-v1	00190	1.0	10.244802275779012	59.0	0.1540229885057471	0.0158664154528507	10.367968324948777	Images	00190	0.0
elife-00218-fig7-v1	00218	1.0	9.635198131439862	8.0	0.00668	0.0707000951102059	19.697715603592208	Images	00218	0.0
elife-00220-fig5-v1	00220	1.0	11.944818141947174	134.0	0.0847222222222222	0.0318673949642543	15.235254625076998	Images	00220	3.0
elife-00247-fig2-v1	00247	1.0	10.411566981648868	43.0	0.0398767334360554	0.0407219744919788	26.0768096208106	Images	00247	0.0
elife-00288-fig4-v1	00288	1.0	10.848731900426928	32.0	0.0220483091787439	0.0827809890737256	24.186773244895647	Images	00288	0.0
elife-00299-fig1-v1	00299	1.0	7.13818833930011	4.0	0.0112021857923497	0.0127599484764215	33.28663395418648	Images	00299	0.0
elife-00299-fig2-v1	00299	1.0	11.882356168953509	21.0	0.023486901535682	0.0446911912615638	27.51363298439521	Images	00299	0.0
elife-00306-fig4-v1	00306	1.0	10.652860323709644	39.0	0.0440981735159817	0.0625558267090792	9.219544457292889	Images	00306	1.0
elife-00308-fig5-v1	00308	0.0						Images	00308	-1.0
elife-00308-fig6-v1	00308	0.0						Images	00308	-1.0
elife-00321-fig2-v1	00321	0.0						Images	00321	-1.0
elife-00324-fig4-v1	00324	1.0	9.159316092383502	24.0	0.0452408477842003	0.0316650749924506	7.38761190242223	Images	00324	1.0
elife-00329-fig12-v1	00329	0.0						Images	00329	-1.0
elife-00329-fig6-v1	00329	0.0						Images	00329	-1.0
elife-00333-fig2-v1	00333	1.0	14.198881302796352	11.0	0.0023533471359558	0.0542737272365461	19.235384061671343	Images	00333	0.0
elife-00333-fig4-v1	00333	1.0	9.684446730763272	23.0	0.0329417989417989	0.0901288211018722	13.319937659570371	Images	00333	0.0
elife-00334-fig3-v1	00334	1.0	10.011488786031135	26.0	0.0205673758865248	0.0260780767671663	44.77771342592697	Images	00334	0.0
elife-00336-fig5-v1	00336	1.0	10.69177109454535	212.0	0.0590650406504065	0.0126541399708995	2.23606797749979	Images	00336	3.0
elife-00337-fig2-v1	00337	1.0	11.392194057000532	349.0	0.0739520958083832	0.0447943690546075	1.5	Images	00337	3.0
elife-00348-fig7-v1	00348	1.0	10.61592469947416	27.0	0.038984375	0.0725272162618393	23.021728866442675	Images	00348	0.0
elife-00362-fig8-v1	00362	1.0	11.16030199489505	74.0	0.0570132517838939	0.0193723288766189	5.692582403567252	Images	00362	1.0
elife-00378-fig1-v1	00378	1.0	11.586171968554243	111.0	0.1002777777777777	0.0244964941407478	13.41640786499874	Images	00378	3.0
elife-00380-fig3-v1	00380	1.0	14.234986991494615	85.0	0.083834652594547	0.0300430957886917	4.0	Images	00380	3.0
elife-00400-fig1-v1	00400	1.0	11.051528758989612	231.0	0.1733484848484848	0.0527173094498327	17.290745982598335	Images	00400	3.0
elife-00400-fig3-v1	00400	1.0	10.396696858546484	147.0	0.0545719035743973	0.0556428963371356	17.448228273519693	Images	00400	1.0
elife-00425-fig7-v1	00425	1.0	10.609529066188616	26.0	0.0190054160512063	0.0557097287913169	47.01063709417264	Images	00425	0.0
elife-00467-fig5-v1	00467	0.0						Images	00467	-1.0
elife-00508-fig3-v1	00508	1.0	10.883541902900598	79.0	0.047415458937198	0.0338632925354155	20.843141695851493	Images	00508	3.0
elife-00537-fig2-v1	00537	1.0	11.37911296111993	47.0	0.0235714285714285	0.1173991077371486	13.601470508735444	Images	00537	0.0
elife-00569-fig2-v1	00569	1.0	11.088638446085788	50.0	0.0373851294903926	0.0686394034313299	15.264337522473747	Images	00569	0.0
elife-00592-fig7-v1	00592	1.0	6.158892076813284	3.0	0.0001212121212121212	0.0113478097248891	8.905124837953327	Images	00592	0.0
elife-00592-fig9-v1	00592	1.0	10.332599924999382	44.0	0.0114938271604938	0.0317884902016029	29.8328677803526	Images	00592	1.0
